NR,Geschlecht,Alter,Nielsen,Bundesland,Arbeitsstatus,Kinder im Haushalt (<18),Haushaltsgröße,Haushaltsnettoeinkommen,Familienstand,Berufs- / Akademische Bildung,Schulbildung,Stadt,Urban (>100k Einw.),PLZ,Land,Platform,Beantwortungsdauer in Sek.,Beantwortungszeit,"1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.",2. Welche dieser Eiskugeln würdest du am ehesten kaufen?,3. Welche dieser Eiskugeln würdest du am ehesten kaufen?,4. Welche dieser Eiskugeln würdest du am ehesten kaufen?,5. Welche dieser Eiskugeln würdest du am ehesten kaufen?,6. Welche dieser Eiskugeln würdest du am ehesten kaufen?,7. Welche dieser Eiskugeln würdest du am ehesten kaufen?,8. Welche dieser Eiskugeln würdest du am ehesten kaufen?,9. Welche dieser Eiskugeln würdest du am ehesten kaufen?,10. Welche dieser Eiskugeln würdest du am ehesten kaufen?,11. Welche dieser Eiskugeln würdest du am ehesten kaufen?,12. Welche dieser Eiskugeln würdest du am ehesten kaufen?,13. Welche dieser Eiskugeln würdest du am ehesten kaufen?,14. Welche dieser Eiskugeln würdest du am ehesten kaufen?,15. Welche dieser Eiskugeln würdest du am ehesten kaufen?,16. Welche dieser Eiskugeln würdest du am ehesten kaufen?,17. Welche dieser Eiskugeln würdest du am ehesten kaufen?,"18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!"
57,m,19,5,Berlin,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Berlin,1,10115,DEU,iOS,319,2021-06-18 14:52:29,-,1C,2B,3A,4B,5B,6A,7B,8A,9B,10B,11C,12A,13A,14A,15C,16C,Hai
58,m,51,1,Schleswig-Holstein,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Fehmarn,0,23769,DEU,Android,141,2021-06-18 14:58:35,-,1A,2B,3A,4C,5B,6B,7C,8B,9B,10B,11C,12C,13A,14C,15B,16B,Hai
59,m,18,6,Brandenburg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,3000€ bis 4000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Schoeneiche bei Berlin,0,15566,DEU,iOS,117,2021-06-18 15:01:45,-,1B,2B,3C,4C,5A,6B,7C,8B,9B,10A,11C,12C,13A,14B,15C,16A,Hai
60,m,19,6,Sachsen-Anhalt,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Ohne Abschluss,Quedlinburg,0,06484,DEU,iOS,176,2021-06-18 15:03:27,-,1B,2B,3A,4C,5C,6A,7A,8A,9A,10C,11C,12A,13B,14A,15C,16A,Hai
61,m,33,4,Bayern,Sonstige,Min. ein Kind (<18) im Haushalt,1 Person,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Ohne Abschluss,Dollnstein,0,91795,DEU,Android,163,2021-06-18 14:56:38,-,1A,2C,3A,4C,5B,6C,7C,8B,9B,10B,11B,12A,13A,14A,15C,16B,Hai
62,f,33,3a,Rheinland-Pfalz,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Steinefrenz,0,56414,DEU,iOS,68,2021-06-18 14:45:36,-,1A,2B,3A,4C,5C,6C,7A,8A,9B,10C,11A,12A,13B,14A,15B,16A,Hai
63,m,27,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Hannover,1,30159,DEU,Android,84,2021-06-18 15:00:38,-,1B,2A,3A,4C,5B,6A,7B,8A,9B,10B,11C,12A,13B,14A,15B,16B,Hai
64,m,27,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Essen,1,45145,DEU,Android,158,2021-06-18 14:53:23,-,1A,2A,3A,4C,5A,6B,7C,8C,9B,10B,11A,12C,13A,14B,15B,16B,Hai
65,m,48,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Witten,0,58455,DEU,android,121,2021-06-18 14:48:38,-,1C,2A,3C,4C,5A,6A,7B,8A,9C,10A,11C,12C,13A,14C,15B,16B,Hai
66,f,22,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Ravensburg,0,88213,DEU,iOS,120,2021-06-18 14:55:06,-,1A,2B,3A,4C,5A,6B,7C,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
67,m,30,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,4000€ bis 5000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Stuttgart,1,70180,DEU,Android,358,2021-06-18 14:51:31,-,1A,2C,3C,4C,5A,6A,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
68,m,62,7,Sachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Leipzig,1,04279,DEU,Android,150,2021-06-18 15:00:37,-,1B,2A,3C,4B,5B,6C,7B,8A,9A,10A,11C,12A,13A,14B,15A,16C,Hai
69,f,20,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Muenchen,1,80336,DEU,iOS,163,2021-06-18 14:48:06,-,1A,2C,3B,4C,5A,6A,7C,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
70,m,19,4,Bayern,-,-,-,-,-,-,-,Nuernberg,1,90489,DEU,iOS,275,2021-06-18 14:58:53,-,1A,2C,3A,4C,5C,6C,7B,8C,9C,10B,11C,12C,13A,14A,15B,16B,Hai
71,f,22,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,1000€ bis 2000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Diespeck,0,91456,DEU,iOS,135,2021-06-18 14:50:58,-,1A,2C,3A,4B,5A,6A,7C,8A,9C,10B,11C,12A,13A,14A,15B,16B,Hai
72,m,41,3a,Hessen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Offenbach,0,63073,DEU,Android,443,2021-06-18 14:54:41,-,1A,2A,3B,4A,5A,6A,7C,8B,9B,10A,11B,12A,13A,14C,15B,16A,Hai
73,f,36,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Holtland,0,26835,DEU,android,116,2021-06-18 14:52:25,-,1C,2B,3B,4B,5B,6C,7A,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
74,m,52,3b,Baden-Wuerttemberg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,<1000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Friedrichshafen,0,88045,DEU,iOS,94,2021-06-18 14:58:38,-,1B,2B,3A,4B,5C,6A,7A,8A,9A,10B,11C,12A,13B,14C,15C,16A,Hai
75,m,40,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Nordhorn,0,48527,DEU,Android,317,2021-06-18 14:59:37,-,1A,2B,3C,4C,5C,6B,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
76,m,36,1,Hamburg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,<1000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Ohne Abschluss,Hamburg,1,22147,DEU,Android,197,2021-06-18 14:47:51,-,1A,2C,3B,4C,5A,6A,7B,8C,9C,10B,11C,12C,13B,14A,15B,16A,Hai
77,m,38,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Kulmbach,0,95326,DEU,iOS,122,2021-06-18 14:59:25,-,1A,2B,3A,4C,5C,6B,7C,8C,9B,10B,11C,12C,13B,14A,15B,16A,Hai
78,m,35,1,Niedersachsen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Realschulabschluss,Nordhorn,0,48527,DEU,iOS,66,2021-06-18 14:47:45,-,1C,2C,3C,4B,5A,6B,7A,8A,9A,10A,11A,12C,13B,14C,15C,16B,Hai
79,m,48,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Realschulabschluss,Garching bei Muenchen,0,85748,DEU,iOS,237,2021-06-18 15:04:35,-,1A,2A,3A,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14C,15B,16B,Hai
80,m,30,4,Bayern,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Augsburg,1,86156,DEU,Android,119,2021-06-18 14:48:53,-,1C,2C,3A,4C,5C,6A,7A,8A,9B,10B,11A,12C,13B,14C,15B,16A,Hai
81,m,20,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Dueren,0,52349,DEU,iOS,154,2021-06-18 14:48:46,-,1A,2B,3C,4C,5C,6C,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
82,f,58,2,Nordrhein-Westfalen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Hauptschulabschluss,Nettetal,0,41334,DEU,Android,352,2021-06-18 14:51:40,-,1B,2C,3A,4C,5C,6A,7B,8C,9A,10B,11A,12A,13A,14C,15B,16C,Hai
83,f,20,3b,Baden-Wuerttemberg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Stuttgart,1,70176,DEU,Android,149,2021-06-18 14:48:33,-,1A,2B,3C,4A,5C,6C,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
84,m,35,2,Nordrhein-Westfalen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,Single / Ledig,Universitärer Abschluss,Abitur / Fachabitur,Koeln,1,51143,DEU,iOS,390,2021-06-18 15:01:53,-,1B,2B,3A,4B,5C,6A,7A,8A,9B,10B,11C,12A,13B,14C,15C,16A,Hai
85,f,60,7,Sachsen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Dresden,0,01169,DEU,iOS,246,2021-06-18 14:53:38,-,1C,2B,3A,4C,5C,6C,7A,8A,9C,10B,11C,12C,13B,14C,15B,16B,Hai
86,f,26,5,Berlin,-,-,-,-,-,-,-,Berlin,1,10785,DEU,iOS,202,2021-06-18 14:54:40,-,1A,2C,3B,4B,5A,6A,7A,8A,9A,10B,11B,12A,13A,14C,15A,16A,Hai
87,f,58,2,Nordrhein-Westfalen,in Rente,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Nettetal,0,41334,DEU,Android,297,2021-06-18 14:50:56,-,1C,2A,3C,4C,5A,6C,7C,8A,9C,10A,11C,12C,13A,14B,15C,16C,Hai
88,m,26,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,>5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Iphofen,0,97346,DEU,iOS,108,2021-06-18 14:56:46,-,1A,2A,3A,4C,5A,6B,7C,8C,9B,10B,11A,12C,13B,14B,15B,16A,Hai
89,m,23,4,Bayern,-,-,-,-,-,-,-,Muenchen,1,80333,DEU,iOS,139,2021-06-18 14:58:32,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10A,11C,12C,13B,14A,15B,16A,Hai
90,f,33,3a,Rheinland-Pfalz,-,-,-,-,-,-,-,Trier,1,54294,DEU,iOS,302,2021-06-18 14:54:23,-,1C,2C,3C,4B,5B,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
91,m,60,3a,Saarland,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Realschulabschluss,Mettlach,0,66693,DEU,Android,108,2021-06-18 14:56:45,-,1B,2B,3A,4B,5C,6A,7A,8A,9C,10B,11C,12A,13A,14A,15B,16A,Hai
92,m,35,1,Hamburg,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Hauptschulabschluss,Hamburg,1,21079,DEU,iOS,372,2021-06-18 15:03:20,-,1C,2B,3C,4C,5C,6C,7A,8A,9C,10B,11C,12C,13B,14C,15B,16A,Hai
93,f,16,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,(Noch) kein Abschluss,Realschulabschluss,Gmund am Tegernsee,0,83703,DEU,iOS,161,2021-06-18 14:51:08,-,1A,2B,3C,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16B,Hai
94,m,28,1,Niedersachsen,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,4000€ bis 5000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Meppen,0,49716,DEU,iOS,123,2021-06-18 14:57:10,-,1A,2B,3A,4C,5C,6A,7C,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
95,f,29,3b,Baden-Wuerttemberg,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Schwaigern,0,74193,DEU,iOS,174,2021-06-18 14:49:08,-,1A,2B,3A,4C,5C,6A,7C,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
96,m,16,4,Bayern,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,4 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Muenchen,1,80997,DEU,iOS,151,2021-06-18 14:55:48,-,1A,2B,3A,4B,5A,6A,7C,8A,9B,10C,11B,12A,13B,14A,15A,16A,Hai
97,m,47,5,Berlin,Erwerbstätig,Keine Kinder (<18) im Haushalt,1 Person,2000€ bis 3000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Berlin,1,10409,DEU,Android,212,2021-06-18 15:03:18,-,1A,2B,3A,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16A,Hai
98,f,20,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Neuss,1,41469,DEU,iOS,153,2021-06-18 14:47:20,-,1A,2B,3A,4C,5A,6B,7C,8C,9A,10C,11A,12C,13B,14A,15B,16A,Hai
99,f,18,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,4 Personen,2000€ bis 3000€,In einer Beziehung,(Noch) kein Abschluss,Abitur / Fachabitur,Koenigsfeld im Schwarzwald,0,78126,DEU,iOS,96,2021-06-18 14:52:49,-,1A,2B,3B,4C,5C,6B,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
100,m,21,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,3 Personen,>5000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Villingen-Schwenningen,0,78048,DEU,iOS,123,2021-06-18 14:53:56,-,1C,2C,3C,4C,5C,6C,7B,8B,9A,10C,11C,12A,13B,14C,15B,16B,Hai
101,m,54,5,Berlin,Sonstige,Keine Kinder (<18) im Haushalt,4 Personen,2000€ bis 3000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Berlin,1,10115,DEU,Android,191,2021-06-18 15:02:06,-,1A,2B,3A,4C,5C,6A,7A,8A,9C,10B,11C,12C,13B,14C,15B,16A,Hai
102,m,17,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,>5000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Stegen,0,79252,DEU,Android,158,2021-06-18 14:47:12,-,1A,2C,3C,4C,5A,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
103,m,60,3a,Hessen,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,3 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,(Noch) kein Abschluss,Hauptschulabschluss,Frankfurt am Main,1,65934,DEU,iOS,138,2021-06-18 14:58:33,-,1C,2C,3B,4C,5A,6C,7C,8C,9B,10A,11A,12C,13A,14B,15B,16A,Hai
104,f,25,3a,Rheinland-Pfalz,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Realschulabschluss,Roemerberg,0,67354,DEU,Android,79,2021-06-18 14:54:06,-,1C,2A,3A,4B,5C,6B,7A,8B,9A,10A,11B,12C,13A,14B,15B,16A,Hai
105,f,44,5,Berlin,Erwerbstätig,Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Realschulabschluss,Berlin,1,12277,DEU,Android,138,2021-06-18 14:54:34,-,1A,2B,3B,4C,5C,6A,7A,8C,9A,10B,11A,12C,13B,14C,15B,16B,Hai
106,f,31,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Nussloch,0,69226,DEU,iOS,157,2021-06-18 14:55:32,-,1A,2B,3C,4C,5B,6A,7C,8A,9C,10B,11C,12C,13B,14C,15B,16B,Hai
107,m,27,1,Hamburg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Hamburg,1,21073,DEU,iOS,44,2021-06-18 14:49:35,-,1C,2C,3B,4A,5A,6C,7C,8B,9C,10C,11A,12A,13A,14A,15C,16B,Hai
108,f,18,1,Schleswig-Holstein,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,Mehr als 4 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Abitur / Fachabitur,Wedel,0,22880,DEU,iOS,166,2021-06-18 14:47:35,-,1A,2B,3B,4C,5A,6A,7A,8C,9B,10B,11A,12C,13B,14A,15B,16B,Hai
109,m,16,1,Bremen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,Mehr als 4 Personen,3000€ bis 4000€,Single / Ledig,(Noch) kein Abschluss,Realschulabschluss,Bremen,1,28201,DEU,iOS,109,2021-06-18 15:00:34,-,1A,2B,3A,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
110,m,24,2,Nordrhein-Westfalen,in Rente,Keine Kinder (<18) im Haushalt,3 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Realschulabschluss,Luedenscheid,0,58509,DEU,iOS,94,2021-06-18 14:53:50,-,1A,2B,3C,4A,5A,6A,7B,8B,9C,10B,11B,12C,13B,14A,15B,16A,Hai
111,m,16,3b,Baden-Wuerttemberg,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,3 Personen,1000€ bis 2000€,Single / Ledig,(Noch) kein Abschluss,Hauptschulabschluss,Geislingen an der Steige,0,73312,DEU,Android,115,2021-06-18 14:57:39,-,1A,2B,3B,4C,5C,6A,7C,8B,9C,10B,11C,12C,13B,14A,15B,16A,Hai
112,f,65,2,Nordrhein-Westfalen,in Rente,Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Lehre / Ausbildung,Realschulabschluss,Dinslaken,0,46539,DEU,Android,318,2021-06-18 14:51:43,-,1A,2B,3C,4C,5C,6A,7C,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
113,m,16,7,Thueringen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Min. ein Kind (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,(Noch) kein Abschluss,Ohne Abschluss,Steinbach,0,36448,DEU,android,137,2021-06-18 15:05:19,-,1A,2B,3B,4C,5C,6C,7A,8C,9B,10C,11A,12C,13B,14A,15B,16B,Hai
114,m,46,1,Schleswig-Holstein,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,2000€ bis 3000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Norderstedt,0,22851,DEU,iOS,95,2021-06-18 14:47:17,-,1A,2B,3A,4C,5A,6A,7C,8A,9B,10B,11C,12B,13A,14C,15B,16A,Hai
115,f,71,1,Niedersachsen,in Rente,Keine Kinder (<18) im Haushalt,2 Personen,<1000€,Single / Ledig,Lehre / Ausbildung,Hauptschulabschluss,Drage,0,21423,DEU,Android,178,2021-06-18 14:51:26,-,1A,2C,3C,4C,5A,6A,7A,8B,9C,10B,11A,12C,13B,14A,15B,16A,Hai
116,f,45,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,3000€ bis 4000€,In einer Beziehung,Lehre / Ausbildung,Hauptschulabschluss,Kirchseeon,0,85614,DEU,iOS,92,2021-06-18 14:49:24,-,1A,2C,3A,4C,5C,6A,7B,8B,9C,10B,11A,12C,13B,14C,15B,16B,Hai
117,m,41,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,>5000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Unterschleissheim,0,85716,DEU,android,324,2021-06-18 14:50:00,-,1A,2B,3A,4C,5B,6A,7A,8A,9C,10B,11C,12C,13B,14A,15B,16A,Hai
118,m,47,3b,Baden-Wuerttemberg,Erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,>5000€,In einer Beziehung,Lehre / Ausbildung,Abitur / Fachabitur,Hambruecken,0,76707,DEU,Android,126,2021-06-18 14:51:14,-,1A,2B,3B,4C,5C,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
119,f,18,4,Bayern,Erwerbstätig,Min. ein Kind (<18) im Haushalt,4 Personen,4000€ bis 5000€,Single / Ledig,Lehre / Ausbildung,Abitur / Fachabitur,Muenchen,1,81245,DEU,Android,133,2021-06-18 14:53:09,-,1A,2B,3C,4C,5C,6B,7C,8B,9C,10B,11A,12C,13B,14A,15B,16B,Hai
120,m,68,2,Nordrhein-Westfalen,Erwerbstätig,Min. ein Kind (<18) im Haushalt,2 Personen,4000€ bis 5000€,Verheiratet / eingetragene Partnerschaft,Lehre / Ausbildung,Abitur / Fachabitur,Nettetal,0,41334,DEU,Android,319,2021-06-18 14:51:15,-,1B,2B,3A,4C,5B,6A,7A,8C,9B,10B,11C,12B,13B,14B,15C,16A,Hai
121,f,57,1,Schleswig-Holstein,Sonstige,Keine Kinder (<18) im Haushalt,1 Person,<1000€,Single / Ledig,Lehre / Ausbildung,Ohne Abschluss,Altenmoor,0,25335,DEU,android,252,2021-06-18 14:49:27,-,1A,2B,3C,4C,5C,6A,7A,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
122,m,24,2,Nordrhein-Westfalen,-,-,-,-,-,-,-,Muelheim an der Ruhr,1,45478,DEU,Android,175,2021-06-18 14:49:47,-,1A,2B,3C,4C,5A,6B,7C,8B,9B,10B,11A,12C,13B,14A,15B,16B,Hai
123,f,32,7,Berlin,in Rente,Keine Kinder (<18) im Haushalt,2 Personen,3000€ bis 4000€,Verheiratet / eingetragene Partnerschaft,Universitärer Abschluss,Abitur / Fachabitur,Berlin,0,11011,DEU,iOS,227,2021-06-18 14:53:24,-,1A,2B,3A,4C,5C,6A,7A,8A,9B,10B,11C,12C,13B,14A,15B,16A,Hai
124,m,28,4,Bayern,Nicht erwerbstätig,Keine Kinder (<18) im Haushalt,2 Personen,1000€ bis 2000€,In einer Beziehung,(Noch) kein Abschluss,Hauptschulabschluss,Theisseil,0,92637,DEU,Android,76,2021-06-18 14:50:37,-,1C,2B,3A,4B,5C,6B,7B,8B,9C,10A,11C,12C,13B,14C,15A,16B,Hai
125,f,44,3a,Saarland,-,-,-,-,-,-,-,Saarlouis,0,66740,DEU,iOS,462,2021-06-18 14:57:02,-,1A,2B,3C,4C,5A,6A,7A,8A,9C,10B,11A,12C,13B,14A,15B,16B,Hai
126,f,49,2,Nordrhein-Westfalen,Nicht erwerbstätig,Min. ein Kind (<18) im Haushalt,3 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Realschulabschluss,Guetersloh,0,33332,DEU,Android,139,2021-06-18 15:00:25,-,1A,2B,3B,4C,5C,6C,7A,8C,9C,10B,11A,12C,13B,14A,15B,16B,Hai
127,m,17,2,Nordrhein-Westfalen,SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling),Keine Kinder (<18) im Haushalt,2 Personen,2000€ bis 3000€,In einer Beziehung,Universitärer Abschluss,Abitur / Fachabitur,Guetersloh,0,33335,DEU,Android,202,2021-06-18 14:51:01,-,1A,2B,3A,4C,5C,6A,7A,8A,9B,10B,11C,12C,13B,14C,15B,16A,Hai
