NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. Wir zeigen Dir im Folgenden immer drei Eiscremeangebote, die sich auf vier Faktoren unterscheiden: Sorte, Art des Bechers, Preis, und ob Streusel auf dem Eis sind. Bitte entscheide Dich jedes Mal, welches Eiscremeangebot Du am ehesten kaufen würdest.;2. Welche dieser Eiskugeln würdest du am ehesten kaufen?;3. Welche dieser Eiskugeln würdest du am ehesten kaufen?;4. Welche dieser Eiskugeln würdest du am ehesten kaufen?;5. Welche dieser Eiskugeln würdest du am ehesten kaufen?;6. Welche dieser Eiskugeln würdest du am ehesten kaufen?;7. Welche dieser Eiskugeln würdest du am ehesten kaufen?;8. Welche dieser Eiskugeln würdest du am ehesten kaufen?;9. Welche dieser Eiskugeln würdest du am ehesten kaufen?;10. Welche dieser Eiskugeln würdest du am ehesten kaufen?;11. Welche dieser Eiskugeln würdest du am ehesten kaufen?;12. Welche dieser Eiskugeln würdest du am ehesten kaufen?;13. Welche dieser Eiskugeln würdest du am ehesten kaufen?;14. Welche dieser Eiskugeln würdest du am ehesten kaufen?;15. Welche dieser Eiskugeln würdest du am ehesten kaufen?;16. Welche dieser Eiskugeln würdest du am ehesten kaufen?;17. Welche dieser Eiskugeln würdest du am ehesten kaufen?;18. Bei dieser Frage bitten wir dich, die richtige Antwort auszuwählen. Welches der folgenden Tiere lebt im Wasser? Achtung: Kontrollfrage!
14;f;24;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;21075;DEU;iOS;72;2021-06-18 14:55:29;-;1A;2B;3B;4B;5C;6C;7B;8A;9B;10B;11A;12C;13B;14C;15C;16B;Hai
15;f;31;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Frankfurt am Main;x;60316;DEU;iOS;397;2021-06-18 15:06:52;-;1C;2B;3A;4C;5A;6A;7B;8B;9A;10B;11A;12C;13C;14B;15A;16C;Hai
16;f;17;3a;Rheinland-Pfalz;;;;;;;;Speyer;-;67346;DEU;Android;195;2021-06-18 14:53:14;-;1A;2B;3C;4C;5C;6A;7A;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
17;m;49;2;Nordrhein-Westfalen;Sonstige;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;No degree;Huerth;-;50354;DEU;Android;115;2021-06-18 14:49:30;-;1B;2B;3A;4B;5C;6A;7A;8A;9B;10B;11C;12A;13B;14C;15C;16A;Hai
18;f;25;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Koetzting;-;93444;DEU;iOS;110;2021-06-18 14:49:17;-;1A;2C;3B;4C;5A;6A;7A;8C;9C;10B;11A;12C;13B;14C;15B;16A;Hai
19;m;25;5;Berlin;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Berlin;x;13347;DEU;iOS;59;2021-06-18 14:48:23;-;1C;2B;3A;4A;5A;6B;7B;8B;9A;10B;11B;12C;13B;14C;15C;16C;Hai
20;m;33;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;4000€ bis 5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Flein;-;74223;DEU;iOS;126;2021-06-18 14:49:59;-;1A;2B;3B;4C;5A;6B;7C;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
21;f;17;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Schwerte;-;58239;DEU;iOS;136;2021-06-18 14:48:43;-;1A;2C;3B;4C;5C;6B;7A;8C;9B;10B;11C;12C;13B;14C;15B;16A;Hai
22;m;67;2;Nordrhein-Westfalen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Dinslaken;-;46539;DEU;Android;141;2021-06-18 14:55:03;-;1A;2B;3C;4C;5C;6A;7A;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
23;f;24;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Aachen;x;52078;DEU;iOS;170;2021-06-18 14:55:22;-;1A;2B;3B;4C;5C;6A;7A;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
24;f;30;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;12487;DEU;Android;87;2021-06-18 14:51:47;-;1A;2B;3B;4B;5A;6C;7B;8A;9C;10B;11C;12B;13A;14A;15B;16B;Hai
25;f;24;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Gemuenden (Wohra);-;35285;DEU;iOS;79;2021-06-18 14:49:32;-;1A;2B;3C;4C;5A;6A;7C;8B;9C;10B;11A;12C;13B;14A;15B;16B;Hai
26;f;16;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Berlin;x;10115;DEU;iOS;54;2021-06-18 14:45:41;-;1C;2C;3A;4A;5A;6A;7C;8A;9B;10B;11C;12C;13C;14A;15B;16B;Hai
27;f;28;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Berlin;x;10827;DEU;iOS;117;2021-06-18 14:56:00;-;1B;2A;3C;4C;5A;6C;7A;8B;9C;10A;11A;12A;13B;14A;15B;16C;Hai
28;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Menden;-;58708;DEU;Android;114;2021-06-18 14:49:16;-;1A;2B;3A;4C;5C;6B;7C;8C;9B;10B;11C;12C;13B;14A;15B;16A;Hai
29;m;17;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Weiterstadt;-;64331;DEU;iOS;106;2021-06-18 15:02:10;-;1A;2B;3B;4C;5A;6B;7C;8B;9C;10C;11B;12C;13B;14A;15A;16B;Hai
30;m;23;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Freising;-;85354;DEU;iOS;78;2021-06-18 14:52:03;-;1B;2B;3B;4C;5C;6C;7C;8A;9A;10A;11A;12B;13A;14A;15A;16B;Hai
31;m;33;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;Paderborn;x;33100;DEU;Android;201;2021-06-18 14:57:15;-;1A;2B;3B;4A;5A;6A;7C;8A;9B;10C;11A;12C;13B;14A;15B;16B;Hai
32;m;58;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;10825;DEU;iOS;116;2021-06-18 15:02:33;-;1A;2B;3A;4C;5C;6B;7A;8A;9B;10B;11C;12C;13B;14C;15B;16B;Hai
33;f;16;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;No degree;Chemnitz;-;09111;DEU;android;202;2021-06-18 14:48:53;-;1A;2B;3B;4C;5C;6B;7A;8C;9B;10C;11B;12C;13B;14A;15B;16B;Hai
34;f;24;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;x;81739;DEU;Android;113;2021-06-18 14:51:24;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
35;m;19;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Koeln;x;50667;DEU;iOS;73;2021-06-18 14:46:04;-;1A;2B;3A;4C;5C;6B;7A;8C;9B;10B;11A;12C;13B;14B;15B;16A;Hai
36;f;37;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Abitur / Fachabitur;Zwickau;-;08066;DEU;iOS;157;2021-06-18 14:53:33;-;1A;2B;3A;4C;5C;6B;7C;8C;9B;10B;11A;12C;13B;14A;15B;16B;Hai
37;f;35;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Borchen;-;33178;DEU;iOS;137;2021-06-18 14:51:12;-;1A;2B;3A;4C;5C;6A;7A;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
38;f;16;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;Wachau;-;01454;DEU;iOS;90;2021-06-18 14:47:47;-;1C;2C;3C;4C;5C;6C;7C;8B;9C;10B;11C;12C;13A;14B;15C;16B;Hai
39;f;42;5;Berlin;;;;;;;;Berlin;x;12623;DEU;Android;343;2021-06-18 14:51:21;-;1A;2C;3B;4C;5C;6B;7A;8C;9B;10B;11C;12C;13B;14C;15B;16A;Hai
40;m;37;3a;Rheinland-Pfalz;;;;;;;;Binsfeld;-;54518;DEU;Android;249;2021-06-18 14:53:17;-;1A;2C;3A;4C;5C;6A;7A;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
41;f;34;2;Nordrhein-Westfalen;;;;;;;;Koeln;x;51103;DEU;Android;97;2021-06-18 14:48:35;-;1A;2B;3C;4C;5B;6B;7C;8A;9B;10A;11C;12C;13C;14B;15B;16B;Hai
42;m;38;2;Nordrhein-Westfalen;;;;;;;;Gelsenkirchen;x;45879;DEU;Android;90;2021-06-18 14:48:32;-;1A;2C;3B;4C;5B;6A;7B;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
43;f;39;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbilung;Hauptschulabschluss;Berlin;x;13051;DEU;iOS;334;2021-06-18 14:55:52;-;1A;2B;3A;4C;5C;6B;7A;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
44;m;35;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Leipzig;x;04347;DEU;iOS;139;2021-06-18 14:56:23;-;1A;2B;3A;4C;5C;6A;7C;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
45;f;32;4;Bayern;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbilung;Realschulabschluss;Bad Toelz;-;83646;DEU;Android;312;2021-06-18 14:52:01;-;1A;2B;3C;4C;5C;6A;7A;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
46;m;40;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Lueneburg;-;21337;DEU;android;48;2021-06-18 14:45:13;-;1B;2B;3A;4C;5C;6B;7A;8A;9C;10B;11B;12B;13C;14A;15B;16B;Hai
47;m;46;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Aurich;-;26603;DEU;Android;208;2021-06-18 14:54:04;-;1A;2B;3A;4C;5C;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
48;m;42;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Haimhausen;-;85778;DEU;android;290;2021-06-18 14:52:32;-;1A;2B;3A;4C;5B;6A;7A;8A;9C;10B;11C;12C;13B;14A;15B;16A;Hai
49;f;23;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Dresden;-;01069;DEU;iOS;95;2021-06-18 14:48:20;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
50;m;16;7;Sachsen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Dresden;-;01277;DEU;iOS;101;2021-06-18 14:48:36;-;1A;2B;3A;4C;5C;6B;7C;8C;9B;10B;11A;12C;13B;14A;15B;16A;Hai
51;m;46;3a;Saarland;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Saarlouis;-;66740;DEU;Android;98;2021-06-18 14:57:23;-;1A;2C;3B;4C;5C;6C;7C;8C;9C;10B;11A;12C;13B;14B;15B;16A;Hai
52;m;34;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Realschulabschluss;Lengerich;-;49525;DEU;iOS;202;2021-06-18 14:49:13;-;1A;2B;3B;4B;5C;6A;7A;8A;9A;10B;11B;12C;13B;14A;15A;16A;Hai
53;f;40;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Stade;-;21680;DEU;Android;189;2021-06-18 14:56:06;-;1A;2B;3B;4B;5C;6A;7C;8A;9B;10C;11C;12A;13B;14A;15C;16A;Hai
54;f;48;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbilung;Hauptschulabschluss;Gevelsberg;-;58285;DEU;Android;125;2021-06-18 14:50:46;-;1A;2B;3A;4B;5C;6A;7A;8A;9C;10B;11C;12A;13B;14C;15B;16A;Hai
55;f;23;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Nordhorn;-;48529;DEU;Android;91;2021-06-18 14:50:57;-;1A;2B;3A;4C;5A;6B;7C;8B;9B;10B;11A;12C;13B;14A;15B;16B;Hai
56;f;42;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Teisendorf;-;83317;DEU;Android;75;2021-06-18 14:53:25;-;1B;2B;3B;4B;5A;6C;7A;8A;9B;10A;11C;12C;13B;14C;15B;16A;Hai
57;f;23;7;Thueringen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Erfurt;x;99085;DEU;iOS;118;2021-06-18 14:47:52;-;1A;2C;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16A;Hai
58;m;16;6;Sachsen-Anhalt;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Quedlinburg;-;06484;DEU;Android;268;2021-06-18 14:55:46;-;1A;2B;3A;4C;5C;6A;7C;8A;9B;10B;11C;12C;13B;14A;15B;16B;Hai
59;m;23;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Vreden;-;48691;DEU;android;237;2021-06-18 14:52:59;-;1A;2B;3B;4C;5C;6A;7A;8C;9C;10B;11A;12C;13B;14A;15B;16B;Hai
60;m;57;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;21075;DEU;android;133;2021-06-18 14:56:41;-;1A;2B;3A;4A;5A;6B;7B;8A;9A;10A;11B;12C;13C;14C;15B;16B;Hai
61;m;63;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbilung;Abitur / Fachabitur;Ratingen;-;40883;DEU;iOS;215;2021-06-18 14:54:24;-;1A;2B;3A;4B;5C;6A;7C;8A;9A;10C;11B;12A;13C;14A;15C;16A;Hai
62;m;16;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Neusaess;-;86356;DEU;iOS;130;2021-06-18 14:49:53;-;1A;2B;3B;4C;5C;6A;7A;8A;9B;10B;11A;12C;13B;14C;15B;16A;Hai
63;m;46;1;Hamburg;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbilung;Realschulabschluss;Hamburg;x;22547;DEU;Android;236;2021-06-18 14:49:54;-;1A;2B;3A;4C;5C;6A;7A;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
64;f;31;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Aspach;-;71546;DEU;Android;163;2021-06-18 14:53:58;-;1C;2C;3B;4C;5C;6B;7A;8C;9B;10A;11A;12C;13B;14C;15B;16A;Hai
65;m;38;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Goeppingen;-;73037;DEU;iOS;94;2021-06-18 14:48:50;-;1A;2C;3B;4C;5B;6A;7B;8C;9C;10A;11A;12C;13A;14C;15B;16A;Hai
66;f;16;1;Hamburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Hamburg;x;21075;DEU;Android;226;2021-06-18 14:53:08;-;1A;2C;3B;4C;5A;6B;7A;8C;9B;10B;11A;12C;13B;14C;15B;16A;Hai
67;f;26;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Forstern;-;85659;DEU;Android;282;2021-06-18 14:50:36;-;1A;2B;3A;4B;5C;6A;7C;8A;9B;10B;11C;12C;13B;14A;15B;16A;Hai
68;m;18;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Wuppertal;x;42281;DEU;android;71;2021-06-18 14:55:26;-;1B;2A;3A;4C;5B;6C;7C;8A;9B;10A;11A;12C;13A;14A;15B;16A;Hai
